utt_key,transcription,keywords
421730441_6b2267fd31_2,"a man standing in front of a brick building","building|stands"
422763475_0bc814dac6_4,"a young boy plays with his dog in the snow","boy|snowy|snow|young|dogs|white|children"
424416723_19c56cb365_3,"a brown dog jumping off the ground in the woods","brown|jumps|tree|dogs"
424779662_568f9606d0_1,"three women celebrate st patrick 's day by dressing up in green and white on a busy street","three|street|white|women"
429851331_b248ca01cd_4,"the wet dog catches a toy while playing on the sand","water|toy|sand|dogs|mouth"
430173345_86388d8822_3,"a dog in a field with a frisbee","toy|jumps|field|mouth|dogs"
434792818_56375e203f_4,"a man and woman stand near a large red sculpture outdoors","stands|large|red|women"
435827376_4384c3005a_1,"a man and a woman are carrying bags down an empty street","car|carrying|street|walks|road|women"
436009777_440c7679a1_1,"a man and a woman sit on a rock beside a street","sitting|street|rock|sits|women"
439037721_cdf1fc7358_0,"two men sitting on the bank of a lake with an ice chest","sits|sitting|water|beach"
444057017_f1e0fcaef7_1,"a little girl in pink clothes holding yellow rods","pink|little|young|yellow|carrying|holding|small|children"
444481722_690d0cadcf_3,"two people standing on the sidewalk","stands|road"
447111935_5af98563e3_0,"the two greyhound dogs wearing sweaters are playing in the grass","wearing|grass|dogs"
448252603_7d928c900e_4,"a young man sitting in the middle of a dirt road pointing up the road","dirt|sitting|young|road"
448658518_eec0b648a6_1,"a man dressed in black is waiting at a crosswalk","street|black"
452419961_6d42ab7000_0,"the three children are in a cage","boy|three|young|children"
460935487_75b2da7854_3,"a dog turning to look at the camera","camera|dogs"
461505235_590102a5bf_4,"the man is climbing up the rock","climbing|rock"
463978865_c87c6ca84c_3,"a white man with dreadlocks walks down the sidewalk","hair|street|walks|white|road"
464251704_b0f0c4c87a_0,"a girl in a pink top is swinging with her hair flying everywhere","pink|top|air|hair|children"
466956209_2ffcea3941_1,"a panoramic distance view of a rock climber going up a steep mountain wall","mountain|climbing|rock"
468102269_135938e209_0,"a couple kiss outdoors while another couple watch","mouth|women"
468310111_d9396abcbd_3,"a cow herd grazing in the pasture with a dog running in the foreground","field|running|grass|dogs"
468608014_09fd20eb9b_4,"two dogs fighting for the same chew toy","toy|dogs"
470373679_98dceb19e7_0,"a group of people inside a building that overlooks a large mountain","building|mountain|large"
473220329_819a913bbb_4,"a young woman crosses a bridge through a field of tall grass","young|field|walks|grass|women"
476233374_e1396998ef_3,"two little kids play on a pebble covered beach","little|young|ocean|sand|rock|small|beach|children"
476759700_8911f087f8_1,"a man holds up a free hugs sign above his head","carrying|holding"
480505313_2dc686e5db_0,"a couple is photographed in front of a large outdoor fountain","large|water|camera"
485245061_5a5de43e20_4,"a mountain hiker is digging steaks into the thck snow","mountain|snowy|snow|jacket|climbing"
486712504_36be449055_2,"a dog leaps over a red and blue jump","jumps|dogs|red"
486917990_72bd4069af_0,"a girl is climbing a rock wall","young|rock|climbing|children"
488356951_b3b77ad832_3,"these three men are sitting near each other and are all wearing short sleeved shirts","wearing|shirt|sitting|three|sits"
488408004_a1e26d4886_1,"a little boy with a blue jacket is making a sour face at the camera","boy|little|young|face|jacket|camera|mouth|children"
488590040_35a3e96c89_2,"two men holding their fishing poles","carrying|holding"
491405109_798222cfd0_2,"a small girl is doing a handstand while smiling","young|small|smiling|children"
493109089_468e105233_3,"a young boy in a black sweatshirt and red vest plays on a red jungle gym","boy|shirt|park|young|black|children|red"
493621130_152bdd4e91_1,"a dog leaping off a boat","jumps|water|ocean|dogs"
494792770_2c5f767ac0_0,"a brown dog walks in the under brush","brown|walks|grass|dogs"
494921598_af73bda568_3,"the hockey player is skating on the ice smacking the puck",""
496110746_a93ca191ae_2,"a young child in a purple shirt hanging upside down on a swing","little|shirt|face|young|children"
497791037_93499238d8_2,"a child in a white shirt coming out of a swing in midair","shirt|jumps|young|air|white|children"
498444334_a680d318a1_3,"four boys posing while one boy sets his drink down","boy|holding|children"
500446858_125702b296_0,"a small white dog is running through the dirt right on the outside of a patch of grass where two people and another small black dog are playing","dirt|park|running|black|small|white|grass|dogs"
505929313_7668f021ab_3,"a black dog stands in the surf holding a red rubber ball","ball|stands|water|black|holding|beach|dogs|red"
506367606_7cca2bba9b_1,"a person looking to the right standing between plants in buckets and a banana box","stands"
506738508_327efdf9c3_4,"two young men in sunglasses and white suits raise their arms and smile in a bar","face|young|smiling|white"
509123893_07b8ea82a9_1,"two girls enjoy corn on the cob while sitting on a curb","little|sitting|young|street|holding|children"
509778093_21236bb64d_4,"a small brown dog paws at a white ball","brown|little|ball|toy|small|white|dogs"
510531976_90bbee22a2_4,"the break dancer is wearing a white shirt and grey pants","wearing|shirt|white"
512101751_05a6d93e19_0,"a muzzled white dog is running on the grass","field|running|white|grass|dogs"
514990193_2d2422af2c_3,"girl poses on couch on suburban lawn","sitting|young|grass"
522063319_33827f1627_0,"two children are dressed as pirates","wearing|shirt|young|children"
523985664_c866af4850_4,"woman in blue bikini wearing a free hugs sign","wearing|holding|women|swimming"
524105255_b346f288be_4,"blond woman overlooking seattle space needle scene","women"
524282699_71e678a6bd_3,"two dogs playing on a rocky beach","ocean|rock|beach|dogs"
525863257_053333e612_0,"a man fly fishes in a large river","water|large"
53043785_c468d6f931_1,"a man is standing on an elephant lying in some water","stands|water"
532457586_bddfc5251d_4,"a woman with a hat is sitting on a skateboard which is on top of a bench and speaking with a shirtless man","wearing|skateboard|sitting|hat|top|shirt|sits|women"
533483374_86c5d4c13e_3,"the brown dog is standing next to a ball on the beach","ball|stands|brown|water|sand|ocean|beach|dogs"
533713007_bf9f3e25b4_0,"a young boy sits at a picnic table and drinks out of a small cup","boy|park|young|holding|small|sits|children"
533979933_a95b03323b_4,"a little boy walks with a paddle out into the sand","boy|little|young|sand|holding|walks|small|beach|children"
534875358_6ea30d3091_4,"it looks like the girl went shopping and got something from the aveda store",""
535830521_aa971319fc_3,"a woman with ear muffs holds a paper that says real change on the cover","holding|women"
537532165_e4b7c0e61a_3,"a young children hanging upside at the playground","young|children"
537559285_29be110134_2,"collie jumping over a training hurdle that is on the grass","jumps|running|grass|dogs"
539751252_2bd88c456b_1,"a young boy wearing blue shorts is splashing is a blue kiddie pool","wearing|boy|young|water|children|pool|swimming"
540721368_12ac732c6c_2,"a little girl with a yellow dress blows the whistle","wearing|little|young|yellow|holding|children"
541063517_35044c554a_4,"one man wearing a grey shirt and a backpack with snowy mountains in the backgroud","wearing|mountain|snowy|snow|shirt"
542179694_e170e9e465_4,"a man walks on a sidewalk and a firetruck is nearby","street|walks"
542317719_ed4dd95dc2_4,"smiling boy in tube extending had toward camera","boy|young|face|camera|mouth|smiling"
543007912_23fc735b99_3,"two identically dressed young children jump outside","wearing|jumps|young|small|children"
544576742_283b65fa0d_4,"woman goes rock climbing","mountain|rock|climbing|women"
54501196_a9ac9d66f2_3,"a hiker poses for a picture in front of stunning mountains and clouds","mountain|stands|camera"
561417861_8e25d0c0e8_1,"a man stands by a building while others are nearby","building|stands"
561940436_64d6fc125d_3,"an older woman and an old man sitting down looking unhappy","sitting"
56489627_e1de43de34_0,"a boy is leading donkeys on a path","boy|young|children"
566397227_a469e9e415_1,"a child wearing a white shirt is walking through the green grass","wearing|shirt|young|field|walks|white|grass|children"
57422853_b5f6366081_2,"a man sits in his tent on a mountain","mountain|sitting|sits"
583174725_6b522b621f_3,"a young girl jumps rope in a parking lot in the mid-day sun","jumps|park|young"
624742559_ff467d8ebc_3,"a little boy is climbing on the monkey bars at a playground","boy|little|park|young|children|climbing"
670609997_5c7fdb3f0b_0,"a black and white dog jumping in the air to catch a frisbee","jumps|air|black|white|dogs"
700884207_d3ec546494_2,"a woman holds a fat baby with sunglasses and a denim hat","wearing|hat|carrying|holding|baby|women"
70995350_75d0698839_3,"a silver craft rides the waves","rides|ocean|water|riding|beach"
732468337_a37075225e_3,"a naked toddler is covering a naked baby with paint","boy|little|young|baby|children"
745880539_cd3f948837_2,"a small dog in front of a yellow tube on grass","yellow|small|grass|dogs"
747921928_48eb02aab2_0,"a boy holds two sparklers","boy|young|carrying|holding|children"
751109943_2a7f8e117f_4,"a young girl lifting her wet hair out of a white bucket","water|little|young|air|hair|white"
751737218_b89839a311_3,"a young boy splashing an older person with a bottle of water","boy|young|water|children"
754852108_72f80d421f_1,"man in denim cap and sunglasses amid a crowd","wearing|stands|face|hat"
757046028_ff5999f91b_0,"a large man in a leather costume plays a big drum beside a little boy playing a little drum","wearing|boy|little|young|large|children"
757332692_6866ae545c_0,"a smiling woman punching a dog","smiling|face|mouth|dogs|women"
758921886_55a351dd67_4,"a young girl in inside a tunnel","young"
766099402_cdda6964f0_3,"a woman wearing an orange dress makes a face while riding above the fair","wearing|sitting|face|orange|riding|rides|women"
771048251_602e5e8f45_4,"orange striped kitten biting blonde girl on the nose","young|face|orange|mouth"
791338571_7f38510bf7_2,"a red car parked next to a cow in a field","car|park|field|grass|red"
799486353_f665d7b0f0_2,"a young girl holding a boogie board at the beach","young|ocean|sand|carrying|holding|small|beach"
801607443_f15956d1ce_2,"two people climb a rock overhanging water","water|rock|climbing"
820169182_f5e78d7d19_1,"two boys in tent-like area with colorful balls on floor","boy|little|ball|young|toy|children"
86412576_c53392ef80_0,"a group of people are walking while holding numerous baskets and rugs","carrying|holding"
872622575_ba1d3632cc_1,"a man climbs a mountain","mountain|rock|climbing"
880220939_0ef1c37f1f_0,"a group of woman in pink dresses walking across a crosswalk towards a cruisship","pink|wearing|ocean|walks|women"
888425986_e4b6c12324_2,"a person flipping upside down","air"
909191414_1cf5d85821_3,"children are playing in and around a garden tube in the front yard of a house","running|grass|children"
909808296_23c427022d_1,"a dog on a leash walks on the sidewalk while another dog follows","wearing|walks|dogs"
917574521_74fab68514_3,"two little girls stand against a wall one girl has a happy face and the other girl has a sad face","little|stands|young|face|smiling|children"
925491651_57df3a5b36_0,"a dog leaps out of the water","jumps|ocean|water|dogs"
929679367_ff8c7df2ee_2,"a puppy is playing with a tennis ball on a well-kept path lined with groomed bushes","ball|tennis|young|small|dogs"
96420612_feb18fc6c6_2,"a man with a wake-board is diving over a surface that is not water","water|face"
968081289_cdba83ce2e_1,"two boys are climbing a wooden platform and jumping into a river","boy|jumps|young|water|small|climbing|children"
979383193_0a542a059d_3,"six children at a table","sitting|young|sits|children"
997722733_0cb5439472_1,"a man is rock climbing high in the air","mountain|climbing|rock|air"
